Valor,m² construcción,Cuartos,Baños,Estacionamientos,Ubicación
"$8,200,000",361,4,4,5,"Naucalpan de Juárez, Ciudad de México"
"$1,250,000",54,2,1,1,"Coyoacán, Ciudad de México"
"$6,350,000",287,4,3,2,"Azcapotzalco, Ciudad de México"
"$3,950,000",219,3,2,2,"Naucalpan de Juárez, Ciudad de México"
"$4,300,000",104,2,2,2,"Benito Juárez, Ciudad de México"
"$4,500,000",224,3,3,3,"Tlalnepantla de Baz, Ciudad de México"
"$7,700,000",150,3,3,2,"Cuajimalpa de Morelos, Ciudad de México"
"$4,472,000",85,2,2,1,"Benito Juárez, Ciudad de México"
"$10,500,000",451,4,4,2,"Naucalpan de Juárez, Ciudad de México"
"$26,000,000",677,4,4,4,"Cuajimalpa de Morelos, Ciudad de México"
"$3,950,000",63,2,2,1,"Cuauhtémoc, Ciudad de México"
"$10,300,000",270,4,3,3,"Benito Juárez, Ciudad de México"
"$12,499,999",366,3,3,4,"Cuajimalpa de Morelos, Ciudad de México"
"$14,300,000",630,5,5,6,"La Magdalena Contreras, Ciudad de México"
"$6,690,000",178,3,3,2,"La Magdalena Contreras, Ciudad de México"
"$6,200,000",370,3,3,2,"Tlalpan, Ciudad de México"
"$6,880,000",332,4,4,4,"Tlalpan, Ciudad de México"
"$17,000,000",467,3,4,0,"Cuauhtémoc, Ciudad de México"
"$11,850,000",434,4,4,3,"Coyoacán, Ciudad de México"
"$45,000,000",600,4,4,4,"Álvaro Obregón, Ciudad de México"
"$23,850,000",407,4,4,4,"Miguel Hidalgo, Ciudad de México"
"$59,000,000",750,4,4,8,"Álvaro Obregón, Ciudad de México"
"$38,000,000",1000,4,4,7,"Huixquilucan, Ciudad de México"
"$68,000,000",4000,6,10,8,"Coyoacán, Ciudad de México"
"$4,100,000",118,3,3,3,"Cuajimalpa de Morelos, Ciudad de México"
"$17,500,000",500,3,3,2,"Cuajimalpa de Morelos, Ciudad de México"
"$29,800,000",750,4,5,7,"Álvaro Obregón, Ciudad de México"
"$38,000,000",1100,4,4,7,"Huixquilucan, Ciudad de México"
"$22,000,000",488,3,5,4,"Álvaro Obregón, Ciudad de México"
"$18,999,000",570,4,4,6,"Álvaro Obregón, Ciudad de México"
"$10,700,000",240,3,3,2,"Álvaro Obregón, Ciudad de México"
"$12,800,000",272,3,3,4,"Álvaro Obregón, Ciudad de México"
"$4,750,000",86,3,2,1,"Cuauhtémoc, Ciudad de México"
"$11,900,000",332,3,3,2,"La Magdalena Contreras, Ciudad de México"
"$11,900,000",332,3,3,2,"La Magdalena Contreras, Ciudad de México"
"$6,690,000",178,3,3,2,"La Magdalena Contreras, Ciudad de México"
"$2,300,000",70,3,1,1,"Cuauhtémoc, Ciudad de México"
"$4,100,000",106,3,2,2,"Miguel Hidalgo, Ciudad de México"
"$5,300,000",180,3,2,2,"Cuajimalpa de Morelos, Ciudad de México"
"$1,775,000",61,2,1,1,"Álvaro Obregón, Ciudad de México"
"$2,670,000",65,2,2,1,"Benito Juárez, Ciudad de México"
"$2,781,257",71,2,1,1,"Benito Juárez, Ciudad de México"
"$12,000,000",400,4,3,3,"Huixquilucan, Ciudad de México"
"$12,000,000",607,3,3,3,"Atizapán de Zaragoza, Ciudad de México"
"$3,700,000",212,4,4,2,"Tlalpan, Ciudad de México"
"$3,350,000",210,3,2,1,"Azcapotzalco, Ciudad de México"
"$5,185,999",164,3,3,2,"Huixquilucan, Ciudad de México"
"$8,500,000",306,3,3,6,"Naucalpan de Juárez, Ciudad de México"
"$2,982,000",75,2,2,1,"Cuauhtémoc, Ciudad de México"
"$2,500,000",86,2,1,1,"Tlalpan, Ciudad de México"
"$3,960,660",94,2,2,2,"Benito Juárez, Ciudad de México"
"$2,480,000",65,2,2,1,"Álvaro Obregón, Ciudad de México"
"$2,200,000",87,3,2,2,"Coyoacán, Ciudad de México"
"$4,200,000",87,2,2,2,"Cuauhtémoc, Ciudad de México"
"$3,196,000",97,1,2,2,"Cuajimalpa de Morelos, Ciudad de México"
"$2,498,832",64,1,1,2,"Álvaro Obregón, Ciudad de México"
"$4,325,000",92,3,3,2,"Álvaro Obregón, Ciudad de México"
"$4,662,125",111,3,2,2,"Miguel Hidalgo, Ciudad de México"
"$3,290,000",76,2,2,2,"Álvaro Obregón, Ciudad de México"
"$5,295,000",129,3,2,2,"Benito Juárez, Ciudad de México"
"$3,469,170",80,2,1,1,"Miguel Hidalgo, Ciudad de México"
"$3,990,000",85,2,2,1,"Miguel Hidalgo, Ciudad de México"
"$3,743,000",82,2,2,1,"Miguel Hidalgo, Ciudad de México"
"$3,134,120",68,2,1,1,"Miguel Hidalgo, Ciudad de México"
"$3,166,800",91,2,2,1,"Coyoacán, Ciudad de México"
"$3,298,000",64,2,1,1,"Cuauhtémoc, Ciudad de México"
"$4,595,000",115,2,2,1,"Cuauhtémoc, Ciudad de México"
"$6,850,000",193,2,2,4,"Huixquilucan, Ciudad de México"
"$2,900,000",200,4,3,1,"Naucalpan de Juárez, Ciudad de México"
"$4,600,000",141,3,2,1,"Benito Juárez, Ciudad de México"
"$4,156,000",163,3,2,2,"Cuajimalpa de Morelos, Ciudad de México"
"$5,400,000",160,3,2,2,"Miguel Hidalgo, Ciudad de México"
"$5,200,000",160,2,2,2,"Huixquilucan, Ciudad de México"
"$2,890,000",90,1,3,1,"Coyoacán, Ciudad de México"
"$4,255,000",94,2,2,2,"Benito Juárez, Ciudad de México"
"$1,080,000",96,3,2,1,"Tecámac, Ciudad de México"
"$1,250,000",100,3,2,2,"Coacalco de Berriozábal, Ciudad de México"
"$3,390,000",114,2,2,2,"Tlalnepantla de Baz, Ciudad de México"
"$5,800,000",200,3,2,3,"Huixquilucan, Ciudad de México"
"$3,047,760",126,3,3,2,"Huixquilucan, Ciudad de México"
"$4,260,000",94,2,2,2,"Benito Juárez, Ciudad de México"
"$3,370,000",106,2,2,2,"Tlalnepantla de Baz, Ciudad de México"
"$3,299,000",80,1,1,1,"Cuajimalpa de Morelos, Ciudad de México"
"$1,400,000",75,3,1,1,"Tláhuac, Ciudad de México"
"$3,460,000",118,2,2,2,"Naucalpan de Juárez, Ciudad de México"
"$4,250,000",130,3,3,1,"Benito Juárez, Ciudad de México"
"$6,095,000",122,2,1,1,"Miguel Hidalgo, Ciudad de México"
"$1,125,000",91,4,2,2,"Tultitlán, Ciudad de México"
"$2,769,000",78,3,1,1,"Coyoacán, Ciudad de México"
"$3,551,400",85,2,2,2,"Cuajimalpa de Morelos, Ciudad de México"
"$2,799,500",70,2,2,1,"Coyoacán, Ciudad de México"
"$4,990,000",176,2,2,2,"Álvaro Obregón, Ciudad de México"
"$7,200,000",136,3,2,2,"Miguel Hidalgo, Ciudad de México"
"$1,676,000",70,2,1,1,"Álvaro Obregón, Ciudad de México"
"$5,900,000",181,2,2,2,"Álvaro Obregón, Ciudad de México"
"$8,500,000",200,3,2,1,"Miguel Hidalgo, Ciudad de México"
"$4,530,000",121,3,2,1,"Benito Juárez, Ciudad de México"
"$2,551,500",63,2,1,1,"Coyoacán, Ciudad de México"
"$3,290,000",76,2,2,1,"Álvaro Obregón, Ciudad de México"
"$2,949,499",92,2,2,1,"Cuajimalpa de Morelos, Ciudad de México"
"$9,800,000",200,4,3,1,"Cuauhtémoc, Ciudad de México"
"$5,150,000",88,2,2,2,"Miguel Hidalgo, Ciudad de México"
"$3,495,000",83,2,2,2,"Álvaro Obregón, Ciudad de México"
"$3,990,000",83,2,2,1,"Miguel Hidalgo, Ciudad de México"
"$3,400,000",72,1,1,1,"Miguel Hidalgo, Ciudad de México"
"$6,400,000",164,2,3,3,"Cuajimalpa de Morelos, Ciudad de México"
"$3,690,000",76,2,2,2,"Benito Juárez, Ciudad de México"
"$4,750,000",126,1,1,2,"Álvaro Obregón, Ciudad de México"
"$5,459,000",116,3,2,2,"Miguel Hidalgo, Ciudad de México"
"$5,200,000",140,2,2,3,"Álvaro Obregón, Ciudad de México"
"$3,450,000",127,3,2,2,"Atizapán de Zaragoza, Ciudad de México"
"$790,000",87,3,1,1,"Coacalco de Berriozábal, Ciudad de México"
"$5,500,000",177,3,3,2,"Huixquilucan, Ciudad de México"
"$3,000,000",120,2,2,2,"Atizapán de Zaragoza, Ciudad de México"
"$1,250,000",125,2,1,1,"Chimalhuacán, Ciudad de México"
"$2,790,000",158,2,1,1,"Naucalpan de Juárez, Ciudad de México"
"$6,400,000",164,2,3,3,"Cuajimalpa de Morelos, Ciudad de México"
"$5,500,000",107,3,2,2,"Cuauhtémoc, Ciudad de México"
"$6,949,200",152,3,2,2,"Cuauhtémoc, Ciudad de México"
"$600,000",75,2,1,1,"Huehuetoca, Ciudad de México"
"$3,501,000",150,3,3,2,"Atizapán de Zaragoza, Ciudad de México"
"$3,970,000",200,5,3,1,"Naucalpan de Juárez, Ciudad de México"
"$7,486,750",162,4,2,2,"Cuauhtémoc, Ciudad de México"
"$7,500,000",234,4,3,2,"Naucalpan de Juárez, Ciudad de México"
"$7,200,000",226,3,3,2,"Huixquilucan, Ciudad de México"
"$7,450,000",230,3,3,2,"Coyoacán, Ciudad de México"
"$7,500,000",220,3,3,2,"Benito Juárez, Ciudad de México"
"$8,900,000",358,3,3,3,"Naucalpan de Juárez, Ciudad de México"
"$8,000,000",362,3,3,2,"Naucalpan de Juárez, Ciudad de México"
"$12,500,000",583,3,3,4,"Huixquilucan, Ciudad de México"
"$15,000,000",300,3,4,2,"Miguel Hidalgo, Ciudad de México"
"$9,600,000",316,3,2,2,"Miguel Hidalgo, Ciudad de México"
"$12,600,000",390,3,3,3,"Cuajimalpa de Morelos, Ciudad de México"
"$6,500,000",385,6,3,3,"Álvaro Obregón, Ciudad de México"
"$12,100,000",370,3,3,4,"Cuajimalpa de Morelos, Ciudad de México"
"$16,000,000",800,4,4,4,"Atizapán de Zaragoza, Ciudad de México"
"$12,500,000",411,4,4,3,"Huixquilucan, Ciudad de México"
"$6,200,000",384,4,2,4,"Naucalpan de Juárez, Ciudad de México"
"$6,940,000",387,5,2,4,"Tlalnepantla de Baz, Ciudad de México"
"$13,500,000",680,3,2,4,"Huixquilucan, Ciudad de México"
"$14,000,000",550,3,3,5,"Atizapán de Zaragoza, Ciudad de México"
"$15,000,000",500,4,4,6,"Huixquilucan, Ciudad de México"
"$9,000,000",530,5,5,4,"Tlalpan, Ciudad de México"
"$12,850,000",418,3,4,4,"Huixquilucan, Ciudad de México"
"$16,475,000",488,3,3,4,"Álvaro Obregón, Ciudad de México"
"$13,000,000",374,3,3,3,"Benito Juárez, Ciudad de México"
"$8,900,000",340,4,4,4,"Cuajimalpa de Morelos, Ciudad de México"
"$7,200,000",400,3,2,3,"Iztapalapa, Ciudad de México"
"$6,710,000",370,5,4,2,"Coyoacán, Ciudad de México"
